manuscript_line,section,status,source,text
502,Independent SPARCS validation,VERIFIED_KEYED_TABLE,"kp_out_of_sample.txt, cohort and T key",drg540 & 15 & 0.7754 & 0.21119 & 0.00244 & 0.00175 & 0.00029 \\
503,Independent SPARCS validation,VERIFIED_KEYED_TABLE,"kp_out_of_sample.txt, cohort and T key",drg540 & 30 & 0.4657 & 0.07957 & 0.00198 & 0.00017 & 0.00011 \\
504,Independent SPARCS validation,VERIFIED_KEYED_TABLE,"kp_out_of_sample.txt, cohort and T key",drg720 & 6  & 0.4207 & 0.05641 & 0.00176 & 0.00037 & 0.00022 \\
505,Independent SPARCS validation,VERIFIED_KEYED_TABLE,"kp_out_of_sample.txt, cohort and T key",drg720 & 15 & 0.1946 & 0.01167 & 0.00097 & -0.00001 & 0.00006 \\
506,Independent SPARCS validation,VERIFIED_KEYED_TABLE,"kp_out_of_sample.txt, cohort and T key",drg720 & 30 & 0.0990 & 0.00306 & 0.00056 & -0.00001 & 0.00002 \\
512,Independent SPARCS validation,VERIFIED_AGAINST_LOGS,results_raw/experiments/ab_clamped.txt; results_raw/experiments/kp_out_of_sample.txt; results_raw/experiments/kp_vs_breslow.txt,"All 12 $D_B$ values were resolved and positive. Three of the 12 $D_{KP}$ values were also resolved and positive: drg640 at $T=6$, and drg540 at $T=6$ and $T=15$. The profile-baseline residual therefore is not identically zero. It is small relative to the original effect: across the 12 rows it ranged from $-0.33\%$ to $1.33\%$ of $D_B$, corresponding to a baseline share between 98.7\% and 100.2\%. The residual was ordered by tie concentration in this validation set (Spearman correlation 0.832 with the stored modal-exit mass), but the sample is too small and the grid dependence too strong to justify a numerical threshold."
517,Event concentration rather than censoring concentration,VERIFIED_SUPERSEDED_QUOTED_ON_PURPOSE,"quotes retired values (0.8742, 0.3712) beside their replacements; see RELEASE_BLOCKERS item 4","On the native discrete cohorts, $M_T^{(A)}$ and $M_T^{(E)}$ move together, so their empirical correlations with $D_B$ do not identify which feature matters. A 27-cell simulation was therefore constructed to vary the concentration of censoring independently of the concentration of failures. Across these cells, the Spearman correlation between $D_B$ and the modal mass of all exits was $-0.1422$. The corresponding correlation with modal event mass was 0.8742. Events per interval had correlation 0.3712."
521,Event concentration rather than censoring concentration,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,\includegraphics[width=\textwidth]{figures/F2_event_concentration.pdf}
522,Event concentration rather than censoring concentration,VERIFIED_AGAINST_LOGS,results_raw/experiments/simulations_e8.txt,"\caption{Identified comparison of concentration measures in the 27-cell simulation. Baseline hazard level, sample size and grid size were crossed so that concentration of all exits could vary separately from concentration of failures. Modal mass of all exits does not order $D_B$ in this design (panel a), whereas modal event mass does (panel b). Error bars are corrected repeated-split standard errors.}"
529,Event concentration rather than censoring concentration,VERIFIED_AGAINST_LOGS,results_raw/experiments/ab_clamped.txt; results_raw/experiments/ab_noclamp.txt; results_raw/experiments/baselines_fair.txt,"A second simulation checked a different possible interpretation. A continuous Weibull proportional hazards process was generated and then grouped exactly on the analysis grid. At $n=10{,}000$ without censoring and Weibull shape 0.8, the grouped coefficient bias stayed near 0.5\% for all tested grids. The Cox coefficient bias was 35.6\% at $T=2$, 20.5\% at $T=4$, 9.9\% at $T=8$, 3.0\% at $T=20$ and 1.2\% at $T=40$. The corresponding $D_B$ values were 0.17259, 0.10160, 0.04594, 0.01292 and 0.00341. Exactness of the grouped representation therefore does not imply equality of the two estimators after failure times have been tied. It guarantees correctness of the grouped complementary-log-log model under the simulated data-generating process."
533,Event concentration rather than censoring concentration,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,\includegraphics[width=\textwidth]{figures/F3_grouped_weibull.pdf}
534,Event concentration rather than censoring concentration,VERIFIED_AGAINST_LOGS,results_raw/experiments/ab_clamped.txt,"\caption{Controlled Weibull proportional-hazards experiment with $n=10{,}000$, shape 0.8 and no censoring. Failure times were generated continuously and then grouped exactly on the analysis grid. The grouped complementary-log-log coefficient remains close to the generating value while the Cox/Efron coefficient is attenuated on coarse grids (panel a). The corresponding Cox-Breslow minus grouped test negative log-likelihood difference decreases as the grid is refined (panel b).}"
539,Event concentration rather than censoring concentration,VERIFIED_AGAINST_LOGS,results_raw/experiments/competing_risks.txt,"A further link-misspecification simulation generated discrete hazards from a logistic rather than complementary-log-log model. The correctly specified logit likelihood had the better link likelihood in all 16 tested cells, while the original grouped-versus-Cox $D_B$ remained positive in all 16. Thus $D_B$ should not be interpreted as a measure of whether the complementary-log-log link is correct."
544,Censoring and grid sensitivity,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"The exact Bernoulli product in Eq.~\eqref{eq:grouped-likelihood} treats a subject censored in interval $t$ as exposed through the interval. This is exact only when censoring is aligned to the grid. In the four native-discrete cohorts used for the principal R2 comparison, the recorded censoring times were aligned in the tested configurations. A partial-interval likelihood changed $D_B$ only slightly: from $-0.00006$ to $-0.00019$ for support2 at $T=60$, from 0.06769 to 0.06717 for sparcs/drg302 at $T=30$, from 0.00923 to 0.00915 for clinic at $T=50$, and from 0.00047 to 0.00009 for music at $T=240$."
546,Censoring and grid sensitivity,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"The R1 controls are different. The proportion of censored observations potentially off a grid boundary was 72.5\% for flchain, 32.0\% for support-pycox, 85.8\% for nwtco and 42.1\% for metabric in the audited configurations. The corresponding partial-interval sensitivity moved $D_B$ from 0.00002 to $-0.00401$, 0.00034 to $-0.00839$, $-0.00012$ to $-0.00271$, and $-0.00069$ to $-0.00873$. For this reason the R1 cohort results are not used as empirical proof that exact grouping forces the formulations to agree."
557,Discussion,NONCLAIM_NO_NUMBER,line carries no checkable numeric claim,"For the prediction question, the large empirical difference was primarily a baseline-estimation effect. In the main 34 configurations, replacing the Breslow baseline by the Kalbfleisch--Prentice profile baseline while leaving the Efron coefficient unchanged reduced every resolved positive grouped advantage to an unresolved value. Independent validation did not give an exact null: three profile-baseline residuals were resolved. Their size was small, however, relative to the original Breslow differences. The data therefore support a narrower statement than a claim that grouped maximum likelihood and Cox regression are interchangeable. Under heavy ties, interval prediction from a Cox coefficient can depend materially on the baseline reconstruction; a profile-compatible baseline removes most of the observed likelihood gap."
559,Discussion,CITATION_NONCLAIM,See EXPERIMENT_MAP.md; not independently numerically checked,"This finding also clarifies the role of classical work on grouped failure times. Kalbfleisch and Prentice derived likelihood-based treatment of grouped Cox data and survivor estimation long before the present comparison \citep{kalbfleisch1973}. Allison described complementary-log-log event-history likelihoods in discrete time \citep{allison1982}, and Prentice and Kalbfleisch later considered mixed discrete and continuous Cox models \citep{prentice2003}. The contribution here is not a new baseline estimator. It is the decomposition of a modern prediction comparison under substantial ties, together with finite-grid information calculations and controlled tests of the concentration statistic."
563,Discussion,CITATION_NONCLAIM,See EXPERIMENT_MAP.md; not independently numerically checked,"Several limitations remain. First, the empirical comparison uses a finite set of cohorts and grids. The four independent SPARCS groups strengthen the baseline decomposition but are drawn from the same administrative data system. Second, the profile-baseline calculation holds the Cox coefficient fixed; residual differences can therefore reflect the coefficient estimator, joint estimation of $\alpha$ and $\beta$, or finite-sample interaction between them. Third, full-interval grouped likelihood contributions require aligned censoring. The partial-interval sensitivity shows that this idealisation matters for some artificially binned continuous-time controls. Fourth, the profiled information theorem treats an interval-specific nuisance baseline on a refining grouped model and is not a full semiparametric efficient-information calculation for an unknown continuous baseline. Finally, the corrected repeated-split standard error accounts for overlap in repeated train--test splits but does not turn the collection of configurations into independent hypothesis tests \citep{nadeau2003}."
605,Conclusion,CITATION_NONCLAIM,See EXPERIMENT_MAP.md; not independently numerically checked,"All datasets analysed in this study are publicly available from their original sources. SUPPORT data are available through the Vanderbilt University Department of Biostatistics \citep{support1995,vanderbiltSupport2026}. SPARCS data are provided by the New York State Department of Health \citep{nysdoh2012sparcs}. The clinic and music datasets are distributed with the DRSA study \citep{ren2019drsa}. The remaining benchmark cohorts are documented in their original publications and public survival-analysis distributions \citep{kvamme2019pycox,curtis2012metabric,dispenzieri2012flchain,breslow1999nwtco,foekens2000rotterdam,schumacher1994gbsg,katzman2018deepsurv}. No new participant-level data were collected."
